n,section,field,content,standards_formats,page,col_name,spark_type
1,Section A - Identification of the relevant parties,Identification of the entity which submitted the order,The identity of the member or participant of the trading venue. In case of Direct Electronic Access (DEA) the identity shall be the one of the DEA provider.,{LEI},3,identification_of_the_entity_which_submitted_the_order,string
2,Section A - Identification of the relevant parties,Direct Electronic Access (DEA),‘true’ where the order was submitted to the trading venue using DEA as defined in Article 4(1)(41) of Directive (EU) 2014/65. ‘false’ where the order was not submitted to the trading venue using DEA as defined in Article 4(1)(41) of Directive (EU) 2014/65.,'true' 'false',3,direct_electronic_access_dea,boolean
3,Section A - Identification of the relevant parties,Client identification code,"Code used to identify the client of the member or participant of the trading venue. In case there is DEA, the code of the DEA user shall be used. Where the client is a legal entity, the LEI code of the client shall be used. Where the client is not a legal entity, the {NATIONAL_ID} shall be used. In case of aggregated orders, the flag AGGR as specified in Article 2(3) of Commission Delegated Regulation (EU) …/… on maintenance of relevant data relating to orders in financial instruments under article 25(2) of Regulation (EU) No 600/2014 1 shall be used. In case of pending allocations, the flag PNAL as specified in Article 2(2) of Commission Delegated Regulation (EU) …/… on maintenance of relevant data relating to orders in financial instruments under article 25(2) of Regulation (EU) No 600/2014 shall be used. This field shall be left blank only if the member or participant of the trading venue has no client.",{LEI} {NATIONAL_ID} ‘AGGR’ – aggregated orders ‘PNAL’ – pending allocations,3,client_identification_code,string
4,Section A - Identification of the relevant parties,Investment decision within firm,Code used to identify the person or the algorithm within the member or participant of the trading venue who is responsible for the investment decision in accordance with Article 8 of Commission Delegated Regulation (EU) …/… 22 on transaction reporting under Article 26 of Regulation (EU) No 600/2014 2.,{NATIONAL_ID} - Natural persons {ALPHANUM-50} - Algorithms,3,investment_decision_within_firm,string
5,Section A - Identification of the relevant parties,Execution within firm,"Code used to identify the person or algorithm within the member or participant of the trading venue who is responsible for the execution of the transaction resulting from the order in accordance with Article 9 of Commission Delegated Regulation (EU) …/… on transaction reporting under Article 26 of Regulation (EU) No 600/2014].Where a natural person is responsible for the execution of the transaction, the person shall be identified by {NATIONAL_ID} Where an algorithm is responsible for the execution of the transaction, this field shall be populated in accordance with Article 9 Commission Delegated Regulation (EU) …/… on transaction reporting under Article 26 of Regulation (EU) No 600/2014 Where more than one person or a combination of persons and algorithms are involved in the execution of the transaction, the member or participant or client of the trading venue shall determine the trader or algorithm primarily responsible as specified in Article 9(4) of Commission Delegated Regulation (EU) …/… on transaction reporting under Article 26 of Regulation (EU) No 600/2014 and populate this field with the identity of that trader or algorithm.",{NATIONAL_ID} - Natural persons {ALPHANUM-50} - Algorithms,4,execution_within_firm,string
6,Section A - Identification of the relevant parties,Non-executing broker,In accordance with Article 2(d). This field shall be left blank when not relevant.,{LEI},4,non_executing_broker,string
7,Section B - Trading capacity and liquidity provision,Trading capacity,"Indicates whether the order submission results from the member or, participant of the trading venue is carrying out matched",‘DEAL’ - Dealing on own account ‘MTCH’ - Matched principal,4,trading_capacity,string
8,Section B - Trading capacity and liquidity provision,Liquidity provision activity,"Indicates whether an order is submitted to a trading venue as part of a market making strategy pursuant to Articles 17 and 48 of Directive 2014/65/EU, or is submitted as part of another activity in accordance with Article 3 of this Regulation.",'true' 'false',5,liquidity_provision_activity,boolean
9,Section C – Date and time,Date and Time,The date and time for each event listed in Section [G] and [K].,{DATE_TIME_FORMAT} The number of digits after the ‘seconds’ shall be determined in accordance with Article 2 of the Commission Delegated Regulation (EU) …/… on clock synchronisation under Article 50 of Directive 2014/65/EU.,5,date_and_time,timestamp
10,Section D - Validity period and order restrictions,Validity period,Good-For-Day: the order expires at the end of the trading day on which it was entered in the order book. Good-Till-Cancelled: the order will remain active in the order book and be executable until it is actually cancelled. Good-Till-Time: the order expires at the latest at a pre-determined time within the current trading session. Good-Till-Date: the order expires at the end of a specified date. Good-Till-Specified Date and Time: the order expires at a specified date and time. Good After Time: the order is only active after a pre-determined time within the current trading session. Good After Date: the order is only active from the beginning of a pre-determined date. Good After Specified Date and Time: the order is only active from a pre-determined time on a pre-determined date.,‘DAVY’ – Good-For-Day ‘GTCV’ – Good-Till-Cancelled ‘GTTV’ – Good-Till-Time ‘GTDV’ – Good-Till-Date ‘GTSV’ – Good-Till-Specified Date and Time ‘GATV’ – Good After Time ‘GADV’ – Good After Date ‘GASV’ – Good After Specified Date and Time,5,validity_period,string
